
> sevenboard@0.1.0 dev:web
> npm run dev -w apps/web


> @sevenboard/web@0.1.0 dev
> next dev

▲ Next.js 16.2.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.6.39:3000
- Environments: .env.local
✓ Ready in 3.5s

 GET /comments 200 in 187ms (next.js: 42ms, application-code: 145ms)
 GET /select-org 200 in 182ms (next.js: 9ms, application-code: 173ms)
 GET /select-org 200 in 287ms (next.js: 7ms, application-code: 280ms)
 GET / 200 in 40ms (next.js: 6ms, application-code: 34ms)
 GET /variance 200 in 63ms (next.js: 32ms, application-code: 31ms)
 GET /budget 200 in 66ms (next.js: 26ms, application-code: 40ms)
 GET /variable-cost 200 in 99ms (next.js: 27ms, application-code: 71ms)
 GET /financial-statements 200 in 300ms (next.js: 190ms, application-code: 110ms)
 GET /cashflow 200 in 59ms (next.js: 24ms, application-code: 35ms)
 GET /kpi 200 in 302ms (next.js: 215ms, application-code: 87ms)
 GET /comments 200 in 34ms (next.js: 5ms, application-code: 28ms)
 GET /ai-report 200 in 70ms (next.js: 32ms, application-code: 38ms)
 GET / 200 in 35ms (next.js: 6ms, application-code: 30ms)
 GET / 200 in 360ms (next.js: 5ms, application-code: 355ms)
 GET /variance 200 in 35ms (next.js: 5ms, application-code: 29ms)
 GET /budget 200 in 35ms (next.js: 5ms, application-code: 30ms)
 GET /variable-cost 200 in 30ms (next.js: 5ms, application-code: 25ms)
 GET /financial-statements 200 in 34ms (next.js: 5ms, application-code: 29ms)
 GET /cashflow 200 in 40ms (next.js: 4ms, application-code: 35ms)
 GET /kpi 200 in 67ms (next.js: 6ms, application-code: 62ms)
 GET /comments 200 in 48ms (next.js: 5ms, application-code: 43ms)
 GET / 200 in 37ms (next.js: 8ms, application-code: 29ms)
 GET /ai-report 200 in 32ms (next.js: 4ms, application-code: 28ms)
 GET /comments 200 in 34ms (next.js: 5ms, application-code: 29ms)
 GET /settings 200 in 68ms (next.js: 25ms, application-code: 43ms)
 GET / 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /select-org 200 in 223ms (next.js: 17ms, application-code: 206ms)
 GET / 200 in 91ms (next.js: 11ms, application-code: 80ms)
